champ_ID,champ_name,role_name,tier,win%,role%,pick%,ban%
30,Karthus,ADC,C,0.5261,0.239,0.0069,0.0129
30,Karthus,JUNGLE,D,0.4871,0.5388,0.0142,0.0129
38,Kassadin,MID,S,0.5261,0.9664,0.0669,0.1102
55,Katarina,MID,S,0.4899,0.9319,0.0874,0.0961
10,Kayle,MID,B,0.5179,0.1708,0.0046,0.0058
10,Kayle,TOP,B,0.4978,0.7788,0.0256,0.0058
141,Kayn,JUNGLE,God,0.4911,0.959,0.0867,0.079
85,Kennen,MID,B,0.5116,0.1746,0.0027,0.0034
85,Kennen,TOP,C,0.4773,0.7387,0.0115,0.0039
121,Kha'Zix,JUNGLE,A,0.5032,0.973,0.0519,0.0231
203,Kindred,JUNGLE,S,0.508,0.9441,0.0612,0.0654
240,Kled,MID,A,0.5496,0.1158,0.0024,0.0092
240,Kled,TOP,B,0.5128,0.8436,0.0182,0.0092
96,Kog'Maw,ADC,C,0.511,0.9041,0.0226,0.0053
7,LeBlanc,MID,B,0.478,0.8908,0.0325,0.0461
64,Lee Sin,JUNGLE,God,0.4657,0.8581,0.0916,0.0422
89,Leona,SUPPORT,A,0.5072,0.9781,0.049,0.0545
127,Lissandra,MID,B,0.4944,0.8927,0.0203,0.0077
236,Lucian,ADC,A,0.5017,0.9241,0.0975,0.0437
117,Lulu,SUPPORT,God,0.5083,0.9569,0.0863,0.1044
99,Lux,SUPPORT,God,0.5079,0.6971,0.1403,0.1037
99,Lux,MID,S,0.5154,0.2669,0.0537,0.1037
54,Malphite,TOP,A,0.4965,0.6157,0.0279,0.0185
54,Malphite,MID,B,0.5146,0.1706,0.0075,0.0185
54,Malphite,SUPPORT,D,0.4491,0.1507,0.0072,0.0185
90,Malzahar,MID,A,0.514,0.8829,0.0487,0.0461
57,Maokai,SUPPORT,B,0.5214,0.4727,0.022,0.0087
57,Maokai,JUNGLE,B,0.5398,0.3909,0.0172,0.0087
57,Maokai,TOP,B,0.5105,0.1287,0.006,0.0083
11,Master Yi,JUNGLE,God,0.5159,0.9197,0.0798,0.2192
21,Miss Fortune,ADC,S,0.5111,0.8819,0.1022,0.0378
82,Mordekaiser,TOP,God,0.5159,0.589,0.0858,0.201
82,Mordekaiser,JUNGLE,S,0.5209,0.3388,0.0461,0.201
25,Morgana,SUPPORT,God,0.5109,0.8891,0.0804,0.3056
267,Nami,SUPPORT,God,0.531,0.9941,0.1132,0.0424
75,Nasus,TOP,S,0.5231,0.7699,0.0495,0.0438
75,Nasus,MID,A,0.5363,0.1263,0.0057,0.0438
111,Nautilus,SUPPORT,S,0.4977,0.9715,0.0635,0.0832
76,Nidalee,JUNGLE,C,0.4729,0.8413,0.0253,0.0085
56,Nocturne,JUNGLE,A,0.5249,0.8946,0.0353,0.0191
20,Nunu,JUNGLE,B,0.4884,0.8638,0.0344,0.0073
2,Olaf,TOP,A,0.524,0.7296,0.0233,0.016
2,Olaf,JUNGLE,D,0.5084,0.2273,0.0061,0.016
61,Orianna,MID,B,0.4961,0.8898,0.0168,0.0019
516,Ornn,TOP,A,0.5043,0.8894,0.0332,0.0076
80,Pantheon,MID,A,0.5307,0.2512,0.0156,0.0135
80,Pantheon,TOP,B,0.5033,0.2476,0.0144,0.0135
80,Pantheon,SUPPORT,C,0.4823,0.3837,0.0249,0.0135
78,Poppy,TOP,B,0.5138,0.3484,0.0079,0.0064
78,Poppy,SUPPORT,C,0.4844,0.1108,0.0024,0.0063
78,Poppy,JUNGLE,D,0.4863,0.5175,0.0128,0.0064
133,Quinn,MID,A,0.5428,0.1243,0.0018,0.0063
133,Quinn,TOP,B,0.5178,0.7112,0.0122,0.0063
133,Quinn,ADC,D,0.4996,0.1053,0.0018,0.0067
497,Rakan,SUPPORT,A,0.5106,0.9754,0.0335,0.0025
33,Rammus,JUNGLE,God,0.5418,0.8961,0.0553,0.1692
421,Rek'Sai,JUNGLE,D,0.4822,0.9342,0.0143,0.0089
58,Renekton,TOP,A,0.4906,0.8056,0.0374,0.0249
58,Renekton,MID,B,0.5075,0.1688,0.0074,0.0249
107,Rengar,JUNGLE,B,0.4794,0.765,0.0417,0.0596
107,Rengar,TOP,C,0.488,0.1832,0.0111,0.0596
92,Riven,TOP,A,0.4866,0.8651,0.0447,0.0149
68,Rumble,MID,B,0.5002,0.4525,0.0108,0.0047
68,Rumble,TOP,D,0.4656,0.3876,0.0091,0.0047
68,Rumble,JUNGLE,D,0.4655,0.1206,0.0028,0.0047
13,Ryze,MID,B,0.4623,0.8274,0.0283,0.0027
13,Ryze,TOP,D,0.4726,0.1342,0.0046,0.0027
113,Sejuani,JUNGLE,A,0.5096,0.7454,0.0346,0.0117
113,Sejuani,TOP,C,0.4973,0.1811,0.0074,0.0117
35,Shaco,JUNGLE,S,0.4855,0.7712,0.0665,0.1543
35,Shaco,SUPPORT,B,0.51,0.1483,0.0129,0.1543
98,Shen,TOP,S,0.518,0.8093,0.0379,0.008
98,Shen,SUPPORT,C,0.4755,0.1097,0.0051,0.0079
102,Shyvana,JUNGLE,C,0.5206,0.8105,0.019,0.0067
102,Shyvana,TOP,D,0.4815,0.1184,0.0027,0.007
27,Singed,MID,S,0.5811,0.1733,0.0043,0.0055
27,Singed,TOP,B,0.5202,0.6645,0.0192,0.0055
14,Sion,TOP,B,0.48,0.7709,0.0384,0.0113
15,Sivir,ADC,C,0.4945,0.9721,0.0354,0.0092
72,Skarner,TOP,C,0.5023,0.1581,0.0015,0.0016
72,Skarner,JUNGLE,C,0.52,0.7861,0.0085,0.0017
37,Sona,SUPPORT,A,0.5272,0.9681,0.0378,0.0029
16,Soraka,SUPPORT,S,0.5199,0.952,0.0649,0.0331
50,Swain,SUPPORT,A,0.5044,0.5514,0.0496,0.0501
50,Swain,MID,A,0.5341,0.2927,0.0227,0.0501
134,Syndra,MID,A,0.4951,0.8763,0.0611,0.0651
223,Tahm Kench,TOP,B,0.4744,0.6039,0.0237,0.0117
223,Tahm Kench,SUPPORT,C,0.491,0.2651,0.0089,0.0117
163,Taliyah,MID,B,0.5016,0.4652,0.0098,0.0034
163,Taliyah,SUPPORT,D,0.4825,0.1167,0.0024,0.0033
163,Taliyah,JUNGLE,D,0.485,0.3763,0.0082,0.0034
91,Talon,MID,B,0.4984,0.7037,0.0343,0.0115
91,Talon,JUNGLE,D,0.4812,0.2601,0.0131,0.0115
44,Taric,SUPPORT,B,0.5083,0.8268,0.0175,0.0036
17,Teemo,TOP,S,0.505,0.711,0.0519,0.0822
412,Thresh,SUPPORT,S,0.4898,0.9733,0.092,0.0226
18,Tristana,ADC,A,0.5091,0.8605,0.0812,0.0473
18,Tristana,MID,B,0.5245,0.1106,0.0085,0.0473
48,Trundle,JUNGLE,C,0.5074,0.7084,0.0209,0.022
48,Trundle,TOP,D,0.4744,0.2197,0.0064,0.0231
23,Tryndamere,TOP,A,0.5092,0.727,0.0283,0.0315
23,Tryndamere,MID,B,0.5234,0.1933,0.0071,0.0315
4,Twisted Fate,MID,C,0.4694,0.8601,0.019,0.0011
29,Twitch,ADC,A,0.5149,0.6302,0.0655,0.0868
29,Twitch,SUPPORT,B,0.4957,0.2019,0.021,0.0868
77,Udyr,JUNGLE,God,0.5171,0.8842,0.0728,0.2546
6,Urgot,TOP,B,0.5005,0.8891,0.0266,0.0123
110,Varus,ADC,A,0.5066,0.7816,0.0875,0.0434
110,Varus,MID,B,0.4837,0.1907,0.0234,0.0434
67,Vayne,ADC,A,0.5013,0.8097,0.0758,0.0824
67,Vayne,TOP,C,0.4901,0.1603,0.0146,0.0824
45,Veigar,MID,A,0.5093,0.7057,0.0407,0.0269
45,Veigar,ADC,D,0.502,0.1592,0.0078,0.0269
45,Veigar,SUPPORT,D,0.4597,0.1055,0.0066,0.0289
161,Vel'Koz,MID,A,0.5337,0.2836,0.0084,0.006
161,Vel'Koz,SUPPORT,B,0.5088,0.6572,0.0213,0.006
254,Vi,JUNGLE,A,0.5293,0.9295,0.0426,0.0091
112,Viktor,MID,A,0.5169,0.9441,0.0538,0.0301
8,Vladimir,MID,A,0.4973,0.7573,0.0366,0.0514
8,Vladimir,TOP,C,0.4723,0.2095,0.0091,0.0514
106,Volibear,JUNGLE,C,0.5061,0.4658,0.0207,0.0146
106,Volibear,TOP,C,0.4723,0.4797,0.0205,0.0146
19,Warwick,JUNGLE,God,0.5121,0.6614,0.0761,0.0814
19,Warwick,TOP,A,0.5237,0.3092,0.0277,0.0814
62,Wukong,JUNGLE,A,0.5288,0.7445,0.0353,0.0228
62,Wukong,TOP,B,0.5171,0.2041,0.0098,0.0228
498,Xayah,ADC,B,0.5002,0.9778,0.0454,0.0056
101,Xerath,SUPPORT,A,0.4999,0.7122,0.0338,0.0231
101,Xerath,MID,B,0.5037,0.2396,0.0111,0.0231
5,Xin Zhao,JUNGLE,C,0.5126,0.8389,0.0206,0.0034
157,Yasuo,MID,S,0.4939,0.6955,0.1259,0.1916
157,Yasuo,TOP,B,0.4799,0.1658,0.0282,0.1916
157,Yasuo,ADC,D,0.4985,0.1249,0.0206,0.1916
83,Yorick,TOP,B,0.5164,0.8672,0.025,0.0265
154,Zac,JUNGLE,S,0.5295,0.6785,0.0407,0.0338
154,Zac,TOP,A,0.5385,0.147,0.0091,0.0338
238,Zed,MID,God,0.4989,0.7336,0.1243,0.4772
238,Zed,JUNGLE,S,0.4756,0.219,0.0354,0.4772
115,Ziggs,MID,B,0.5168,0.5233,0.0141,0.0034
115,Ziggs,ADC,C,0.5287,0.3442,0.0082,0.0034
115,Ziggs,SUPPORT,C,0.4821,0.1239,0.0033,0.0036
26,Zilean,MID,A,0.5442,0.1295,0.0053,0.0178
26,Zilean,SUPPORT,A,0.5012,0.8219,0.0336,0.0178
143,Zyra,SUPPORT,A,0.5262,0.9082,0.0333,0.0242
